image,dice,iou,contains_tumor,tumor_pixels,prediction_has_tumor
patient100_slice000.png,0.0,0.0,0,0,0
patient100_slice001.png,0.0,0.0,0,0,0
patient100_slice002.png,0.0,0.0,0,0,0
patient100_slice003.png,0.0,0.0,0,0,0
patient100_slice004.png,0.0,0.0,0,0,0
patient100_slice005.png,0.0,0.0,0,0,0
patient100_slice006.png,0.0,0.0,0,0,0
patient100_slice007.png,0.0,0.0,0,0,0
patient100_slice008.png,0.0,0.0,0,0,0
patient100_slice009.png,0.0,0.0,0,0,0
patient100_slice010.png,0.0,0.0,0,0,0
patient100_slice011.png,0.0,0.0,0,0,0
patient100_slice012.png,0.0,0.0,0,0,0
patient100_slice013.png,0.0,0.0,0,0,0
patient100_slice014.png,0.0,0.0,0,0,0
patient100_slice015.png,0.0,0.0,0,0,0
patient100_slice016.png,0.0,0.0,0,0,0
patient100_slice017.png,0.0,0.0,0,0,0
patient100_slice018.png,0.0,0.0,0,0,0
patient100_slice019.png,0.0,0.0,0,0,0
patient100_slice020.png,0.0,0.0,0,0,0
patient100_slice021.png,0.0,0.0,0,0,0
patient100_slice022.png,0.0,0.0,0,0,0
patient100_slice023.png,0.0,0.0,0,0,0
patient100_slice024.png,0.0,0.0,0,0,0
patient100_slice025.png,0.0,0.0,0,0,0
patient100_slice026.png,0.0,0.0,0,0,0
patient100_slice027.png,0.0,0.0,0,0,0
patient100_slice028.png,0.0,0.0,0,0,0
patient100_slice029.png,0.0,0.0,0,0,0
patient100_slice030.png,0.0,0.0,0,0,0
patient100_slice031.png,0.0,0.0,0,0,1
patient100_slice032.png,0.0,0.0,0,0,0
patient100_slice033.png,0.0,0.0,0,0,0
patient100_slice034.png,0.0,0.0,0,0,1
patient100_slice035.png,0.0,0.0,0,0,0
patient100_slice036.png,0.0,0.0,0,0,0
patient100_slice037.png,0.0,0.0,0,0,0
patient100_slice038.png,0.0,0.0,0,0,0
patient100_slice039.png,0.0,0.0,0,0,0
patient100_slice040.png,0.0,0.0,0,0,0
patient100_slice041.png,0.0,0.0,1,14,0
patient100_slice042.png,0.679245,0.514286,1,23,1
patient100_slice043.png,0.793651,0.657895,1,35,1
patient100_slice044.png,0.56,0.388889,1,36,1
patient100_slice045.png,0.588235,0.416667,1,15,1
patient100_slice046.png,0.0,0.0,1,18,0
patient100_slice047.png,0.0,0.0,1,11,0
